produto_id_inexistente,arquivos,bytes
20841,3,93098
20845,2,78836
20848,3,90436
20888,3,58061
20889,3,58061
20892,4,68592
20893,4,72192
20938,4,84525
20939,3,70947
20958,3,70947
20963,3,86425
20965,4,93857
20966,3,70947
20979,3,90974
21002,3,70947
21009,3,90974
21016,3,86390
21035,3,70947
21043,3,70947
21051,3,90974
21055,3,90974
21061,3,63518
21066,1,24799
21068,1,24799
21083,1,24799
21089,1,24799
21094,1,24799
21095,1,24799
21100,1,24799
21103,1,24799
21105,1,24799
21109,1,24799
21111,1,24799
21115,1,24799
21116,1,24799
21117,1,24799
21119,1,24799
21146,1,25328
21147,1,24799
21148,1,25328
21149,1,25328
21155,1,24799
21331,3,64639
21336,3,64639
21341,3,64639
21389,3,45978
21391,3,45978
21393,3,45978
21395,3,45978
21475,3,42148
21478,3,39166
21479,3,39166
21480,3,39166
21488,2,28253
21532,3,35113
21533,3,70529
21547,3,70529
21548,3,35113
21553,3,35113
21555,3,35113
21563,4,98557
21564,3,35113
21570,3,35113
21578,3,35113
21582,3,35113
21585,3,70529
21588,3,35113
21594,3,35113
21597,3,35113
21602,3,35113
21603,3,35113
21606,3,35113
21616,3,35113
21618,4,45698
21621,3,35113
21623,3,35113
21627,6,62269
21628,3,35113
21629,3,35113
21630,3,35113
21633,3,35113
21638,3,35113
21653,3,35113
21666,3,35113
21667,3,35113
21668,3,35113
21669,3,35113
21670,3,35113
21673,3,35113
21676,3,35113
21677,3,35113
21686,3,35113
21687,3,70529
21694,3,35113
21696,3,35113
21699,3,35113
21717,3,35113
21732,3,40004
21747,3,35113
21753,3,70529
21759,3,35113
21766,3,35113
21773,3,35113
21777,3,35113
21793,4,92822
21808,5,54750
21812,3,35113
21814,3,35113
21822,3,35113
21828,3,35113
21833,3,35113
21845,3,35113
21855,3,35113
21859,3,35113
21871,3,35113
21896,3,61607
21912,4,123286
21921,4,123286
21927,1,30047
21947,4,71125
21949,3,71157
21988,2,24387
22054,2,24387
22058,2,24387
22067,3,38283
22077,2,24387
22253,3,51309
22283,3,51309
22309,3,51309
22313,1,19618
22331,3,51309
22335,3,51309
22444,3,69346
22610,1,26275
22622,1,21219
22626,2,1139022
22628,6,1264370
22648,2,125729
22649,3,149223
22650,3,149223
22651,2,125729
22654,3,257815
22660,1,62014
22661,3,192869
22663,3,108769
22664,3,130487
22666,4,252885
22669,1,33708
22672,4,221750
22675,2,126266
22676,4,235250
22677,2,126266
22678,2,126266
22681,5,336111
22682,2,136976
22684,4,254842
22685,5,262707
22686,4,189461
22687,5,280351
22688,4,189461
22689,5,282811
22691,2,122760
22693,2,131520
22694,1,37097
22696,4,252885
22697,4,189461
22698,2,147031
22700,4,254842
22703,2,147031
22704,1,37097
22708,2,127452
22711,2,126266
22713,2,136976
22714,1,24686
22715,1,21382
22716,2,76452
22717,2,55417
22718,2,54863
22719,2,144023
22721,2,51721
22722,2,144023
22724,3,140971
22725,2,121603
22727,2,125055
22728,2,125055
22729,2,125055
22730,2,125055
22732,2,125055
22733,2,121582
22734,2,121582
22736,3,140929
22737,2,121162
22738,2,121162
22739,2,123207
22741,1,24686
22742,2,131520
22743,1,24686
22744,2,51721
22745,2,52932
22748,2,54938
22749,1,24686
22750,2,123192
22751,2,51721
22752,2,128399
22753,1,27269
22754,2,128399
22755,1,21344
22758,1,38414
22759,1,23122
22761,1,23858
22799,4,78032
22807,3,203711
22808,2,58416
22809,3,81579
22810,2,59220
22811,2,57754
22812,2,58051
22814,2,56559
22815,2,55317
22816,2,55716
22823,7,1571086
22828,5,1396670
22831,7,161981
22862,2,50391
22865,2,70190
22877,3,265696
22955,2,283474
22956,2,314300
22957,2,465552
22959,2,104487
22962,2,97009
22965,2,283474
22966,2,100524
22969,2,112743
22972,2,95431
22974,2,283474
22975,2,123786
23124,3,165828
23126,2,67015
23190,4,159081
23191,5,208698
23194,5,256419
23195,3,162307
23198,5,300655
23201,7,513859
23203,3,117960
23229,4,140899
23239,3,149478
23247,2,75152
23305,4,132408
23306,5,256280
23319,2,78935
23718,4,57734
23748,4,408495
23806,5,167025
23944,4,124979
24123,4,1340199
24125,1,68407
24128,2,521154
24155,3,129562
24174,5,506426
24225,3,91525
24271,6,274016
24287,6,405749
24303,7,420004
24321,6,423029
24368,4,195090
24432,4,218549
24473,5,100199
24497,4,139329
24499,3,56895
24590,5,177726
24602,3,170154
24605,5,262669
24608,2,65492
24673,7,1793224
24684,7,1209117
24690,6,1373113
24697,10,371727
24702,6,280034
24705,7,356542
24712,7,1716193
24723,7,1657206
24726,4,449693
24772,9,3088913
24776,7,2422171
24827,7,164635
24849,4,215193
24859,4,215193
24866,4,215193
24876,4,215193
24888,4,215193
24899,4,215193
24909,4,215193
24921,4,215193
24927,4,215193
24934,4,215193
24993,4,215193
25071,5,163585
25072,5,1235309
25077,5,163585
25089,5,392667
25092,6,1244462
25099,5,392667
25101,6,1234803
